
1.8.1t	{Ἀρχιμήδης Δοσιθέῳ χαίρειν} 
1.172.1	ὀρθῷ ποτὶ τὰν ΓΔ· δεῖ δὴ κῶνον εὑρεῖν κορυφὰν ἔχοντα τὸ 
1.172.2	Γ σαμεῖον, οὗ ἐν τᾷ ἐπιφανείᾳ ἐσσεῖται ἁ τοῦ ὀξυγωνίου 
1.172.3	κώνου τομά.  
1.172.4	  Ἀπὸ δὴ τοῦ Γ ἐπὶ τὰ Α, Β εὐθεῖαι ἀχθεῖσαι ἐκβεβλήσθων, 
1.172.5	καὶ ἀπὸ τοῦ Α διάχθω ἁ ΑΖ, ὥστε τὸ περιεχόμενον ὑπὸ τᾶν 
1.172.6	ΑΕ, ΕΖ ποτὶ τὸ τετράγωνον τὸ ἀπὸ τᾶς ΕΓ τοῦτον ἔχειν τὸν 
1.172.7	λόγον, ὃν ἔχει τὸ τετράγωνον τὸ ἀπὸ τᾶς ἡμισείας τᾶς 
1.172.8	μείζονος διαμέτρου ποτὶ τὸ ἀπὸ ΔΓ τετράγωνον· δυνατὸν 
1.172.9	δέ ἐστιν, ἐπεὶ μείζων ἐστὶν ὁ λόγος τοῦ ὃν ἔχει τὸ ὑπὸ τᾶν 
1.172.10	ΑΔ, ΔΒ περιεχόμενον ποτὶ τὸ ἀπὸ τᾶς ΔΓ τετράγωνον· ἀπὸ 
1.172.11	δὲ τᾶς ΑΖ ἐπίπεδον ἀνεστακέτω ὀρθὸν ποτὶ τὸ ἐπίπεδον, ἐν 
1.172.12	ᾧ ἐντι αἱ ΑΓ, ΑΖ, ἐν δὲ τῷ ἐπιπέδῳ τούτῳ κύκλος γεγράφθω 
1.172.13	περὶ διάμετρον τὰν ΑΖ, καὶ ἀπὸ τοῦ κύκλου τούτου κῶνος 
1.172.14	ἔστω κορυφὰν ἔχων τὸ Γ σαμεῖον· ἐν δὴ τᾷ ἐπιφανείᾳ τοῦ 
1.172.15	κώνου τούτου δειχθήσεται ἐοῦσα ἁ τοῦ ὀξυγωνίου κώνου 
1.172.16	τομά. 
1.172.17	  Εἰ γὰρ μή ἐστιν ἐν τᾷ ἐπιφανείᾳ τοῦ κώνου, ἀναγκαῖον 
1.172.18	εἶμέν τι σαμεῖον ἐπὶ τᾶς τοῦ ὀξυγωνίου κώνου τομᾶς, ὃ μή 
1.172.19	ἐστιν ἐν τᾷ ἐπιφανείᾳ τοῦ κώνου. Νοείσθω δή τι σαμεῖον  
1.173.1	λελαμμένον ἐπὶ τᾶς τοῦ ὀξυγωνίου κώνου τομᾶς τὸ Θ, ὃ 
1.173.2	οὐκ ἔστιν ἐν τᾷ ἐπιφανείᾳ τοῦ κώνου, καὶ ἀπὸ τοῦ Θ κάθετος 
1.173.3	ἄχθω ἁ ΘΚ ἐπὶ τὰν ΑΒ· ἐσσεῖται δὴ αὕτα ὀρθὰ ποτὶ τὸ 
1.173.4	ἐπίπεδον τὸ ἐν ᾧ ἐντι αἱ ΑΓ, ΓΖ· ἀπὸ δὲ τοῦ Γ ἐπὶ τὸ Κ 
1.173.5	εὐθεῖα ἀχθεῖσα ἐκβεβλήσθω· συμπιπτέτω δὴ αὕτα τᾷ 
1.173.6	ΑΖ κατὰ τὸ Λ, καὶ ἀπὸ τοῦ Λ ἄχθω ποτ' ὀρθὰς τᾷ ΖΑ ἁ ΛΜ 
1.173.7	ἐν τῷ κύκλῳ τῷ περὶ τὰν ΑΖ, τὸ δὲ Μ νοείσθω μετέωρον ἐπὶ 
1.173.8	τᾶς περιφερείας αὐτοῦ, ἄχθω δὲ καὶ παρὰ τὰν ΑΒ διὰ μὲν 
1.173.9	τοῦ Λ ἁ ΞΟ, διὰ δὲ τοῦ Ε ἁ ΠΡ. Ἐπεὶ οὖν τὸ μὲν ὑπὸ τᾶν 
1.173.10	ΕΑ, ΕΖ περιεχόμενον ποτὶ τὸ ἀπὸ τᾶς ΕΓ τετράγωνον τὸν 
1.173.11	αὐτὸν ἔχει λόγον, ὃν τὸ ἀπὸ τᾶς ἡμισείας τᾶς μείζονος δια-
1.173.12	μέτρου ποτὶ τὸ ἀπὸ τᾶς ΔΓ, τὸ δὲ ἀπὸ τᾶς ΕΓ ποτὶ τὸ ὑπὸ 
1.173.13	τᾶν ΕΠ, ΕΡ, ὃν τὸ ἀπὸ τᾶς ΔΓ ποτὶ τὸ ὑπὸ τᾶν ΑΔ, ΔΒ, τὸν 
1.173.14	αὐτὸν ἔχει λόγον τὸ ὑπὸ τᾶν ΑΕ, ΕΖ ποτὶ τὸ ὑπὸ τᾶν ΕΠ, 
1.173.15	ΕΡ, ὃν τὸ τετράγωνον τὸ ἀπὸ τᾶς ἡμισείας τᾶς μείζονος δια-
1.173.16	μέτρου ποτὶ τὸ ὑπὸ τᾶν ΑΔ, ΔΒ. Ἔστιν δέ, ὡς μὲν τὸ ὑπὸ 
1.173.17	τᾶν ΑΕ, ΕΖ ποτὶ τὸ ὑπὸ τᾶν ΕΠ, ΕΡ, οὕτω τὸ ὑπὸ τᾶν ΑΛ, 
1.173.18	ΛΖ ποτὶ τὸ ὑπὸ τᾶν ΛΞ, ΛΟ, ὡς δὲ τὸ ἀπὸ τᾶς ἡμισείας τᾶς 
1.173.19	μείζονος διαμέτρου ποτὶ τὸ ὑπὸ τᾶν ΑΔ, ΔΒ, οὕτως τὸ ἀπὸ 
1.173.20	τᾶς ΘΚ τετράγωνον ποτὶ τὸ ὑπὸ τᾶν ΑΚ, ΚΒ· τὸν αὐτὸν 
1.173.21	ἄρα ἔχει λόγον τὸ ὑπὸ τᾶν ΑΛ, ΛΖ ποτὶ τὸ ὑπὸ τᾶν ΞΛ, 
1.173.22	ΛΟ, ὃν τὸ ἀπὸ τᾶς ΘΚ τετράγωνον ποτὶ τὸ ὑπὸ τᾶν ΑΚ, 
1.173.23	ΚΒ. Ἔχει δὲ καὶ τὸ ὑπὸ τᾶν ΞΛ, ΛΟ ποτὶ τὸ ἀπὸ τᾶς ΓΛ 
1.173.24	τετράγωνον τὸν αὐτὸν λόγον, ὃν τὸ ὑπὸ ΑΚ, ΚΒ ποτὶ τὸ 
1.173.25	ἀπὸ τᾶς ΚΓ τετράγωνον· ἔχει ἄρα καὶ τὸ ὑπὸ τᾶν ΑΛ, ΛΖ 
1.173.26	περιεχόμενον ποτὶ τὸ ἀπὸ τᾶς ΓΛ τετράγωνον τὸν αὐτὸν 
1.173.27	λόγον, ὃν τὸ ἀπὸ τᾶς ΘΚ ποτὶ τὸ ἀπὸ τᾶς ΚΓ. Τῷ δὲ ὑπὸ 
1.173.28	τᾶν ΑΛ, ΛΖ περιεχομένῳ ἴσον ἐστὶ τὸ ἀπὸ τᾶς ΛΜ τετρά-
1.173.29	γωνον· ἐν ἡμικυκλίῳ γὰρ τῷ περὶ τὰν ΑΖ κάθετος ἄχθη ἁ 
1.173.30	ΛΜ· τὸν αὐτὸν ἄρα ἔχει λόγον τὸ ἀπὸ τᾶς ΛΜ τετράγωνον  
1.174.1	ποτὶ τὸ ἀπὸ τᾶς ΛΓ, ὃν τὸ ἀπὸ τᾶς ΘΚ ποτὶ τὸ ἀπὸ τᾶς ΚΓ· 
1.174.2	ὥστε ἐπ' εὐθείας ἐστὶν τὰ Γ, Θ, Μ σαμεῖα. Ἁ δὲ ΓΜ ἐν τᾷ 
1.174.3	ἐπιφανείᾳ ἐστὶ τοῦ κώνου· δῆλον οὖν ὅτι καὶ τὸ Θ σαμεῖον 
1.174.4	ἐν τᾷ ἐπιφανείᾳ ἐσσεῖται τοῦ κώνου. Ὑπέκειτο δὲ μὴ εἶμεν· 
1.174.5	οὐκ ἄρα ἐστὶ σαμεῖον οὐδὲν ἐπὶ τᾶς τοῦ ὀξυγωνίου κώνου 
1.174.6	τομᾶς, ὃ οὐκ ἔστιν ἐν τᾷ ἐπιφανείᾳ τοῦ προειρημένου 
1.174.7	κώνου. Ὅλα οὖν ἁ τοῦ ὀξυγωνίου κώνου τομὰ ἐν τᾷ 
1.174.8	ἐπιφανείᾳ ἐστὶν τοῦ αὐτοῦ κώνου. 
1.174.9	    ηʹ. 
1.174.10	  Ὀξυγωνίου κώνου τομᾶς δοθείσας καὶ γραμμᾶς μὴ ὀρθᾶς 
1.174.11	ἀνεστακούσας ἀπὸ τοῦ κέντρου τᾶς τοῦ ὀξυγωνίου κώνου 
1.174.12	τομᾶς ἐν ἐπιπέδῳ, ὅ ἐστιν ὀρθὸν ἀνεστακὸς διὰ τᾶς ἑτέρας 
1.174.13	διαμέτρου ποτὶ τὸ ἐπίπεδον, ἐν ᾧ ἐστιν ἁ τοῦ ὀξυγωνίου 
1.174.14	κώνου τομά, δυνατόν ἐστι κῶνον εὑρεῖν κορυφὰν ἔχοντα τὸ 
1.174.15	πέρας τᾶς ἀνεστακούσας εὐθείας, οὗ ἐν τᾷ ἐπιφανείᾳ ἐσσεῖ-
1.174.16	ται ἁ δοθεῖσα τοῦ ὀξυγωνίου κώνου τομά.   
1.175.1	  Ἔστω δὴ διάμετρος μὲν τᾶς τοῦ ὀξυγωνίου κώνου τομᾶς 
1.175.2	ἁ ΒΑ, κέντρον δὲ τὸ Δ, καὶ ἁ ΔΓ ἀπὸ τοῦ κέντρου ἀνεστά-
1.175.3	κουσα, ὡς εἴρηται, ἁ δὲ τοῦ ὀξυγωνίου κώνου τομὰ νοείσθω 
1.175.4	περὶ διάμετρον τὰν ΑΒ ἐν ἐπιπέδῳ ὀρθῷ ποτὶ τὸ ἐπίπεδον, 
1.175.5	ἐν ᾧ ἐντι αἱ ΑΒ, ΓΔ· δεῖ δὴ κῶνον εὑρεῖν κορυφὰν ἔχοντα τὸ 
1.175.6	Γ σαμεῖον, οὗ ἐν τῇ ἐπιφανείᾳ ἐσσεῖται ἁ τοῦ ὀξυγωνίου 
1.175.7	κώνου τομά. 
1.175.8	  Οὐ δή ἐντι ἴσαι αἱ ΑΓ, ΓΒ, ἐπεὶ ἁ ΓΔ οὐκ ἔστιν ὀρθὰ 
1.175.9	ποτὶ τὸ ἐπίπεδον, ἐν ᾧ ἐστιν ἁ τοῦ ὀξυγωνίου κώνου τομά. 
1.175.10	Ἔστω οὖν ἴσα ἁ ΕΓ τᾷ ΓΒ, ἁ δὲ Ν εὐθεῖα ἴσα ἔστῳ τᾷ 
1.175.11	ἡμισείᾳ τᾶς ἑτέρας διαμέτρου, ᾇ ἐστι συζυγὴς ἁ ΑΒ, καὶ 
1.175.12	διὰ τοῦ Δ ἄχθω ἁ ΖΗ παρὰ τὰν ΕΒ, ἀπὸ δὲ τᾶς ΕΒ ἐπίπεδον 
1.175.13	ἀνεστακέτω ὀρθὸν ποτὶ τὸ ἐπίπεδον, ἐν ᾧ ἐντι αἱ ΑΓ, ΓΒ, 
1.175.14	καὶ ἐν τῷ ἐπιπέδῳ τούτῳ γεγράφθω περὶ διάμετρον τὰν 
1.175.15	ΕΒ, εἰ μὲν ἴσον ἐστὶ τὸ τετράγωνον τὸ ἀπὸ τᾶς Ν τῷ 
1.175.16	περιεχομένῳ ὑπὸ τᾶν ΖΔ, ΔΗ, κύκλος, εἰ δὲ μή ἐστιν ἴσον, 
1.175.17	ὀξυγωνίου κώνου τομὰ τοιαύτα, ὥστε τὸ τετράγωνον τὸ 
1.175.18	ἀπὸ τᾶς ἑτέρας διαμέτρου ποτὶ τὸ ἀπὸ τᾶς ΕΒ τὸν αὐτὸν 
1.175.19	ἔχειν λόγον, ὃν ἔχει τὸ ἀπὸ τᾶς Ν τετράγωνον ποτὶ τὸ ὑπὸ 
1.175.20	τᾶν ΖΔ, ΔΗ· κῶνος δὲ λελάφθω κορυφὰν ἔχων τὸ Γ σαμεῖον, 
1.175.21	οὗ ἐν τᾷ ἐπιφανείᾳ ἐσσεῖται ὁ κύκλος ἢ ἁ τοῦ ὀξυγωνίου 
1.175.22	κώνου τομὰ ἁ περὶ διάμετρον τὰν ΕΒ· δυνατὸν δέ ἐστι 
1.175.23	τοῦτο, ἐπεὶ ἁ ἀπὸ τοῦ Γ ἐπὶ μέσαν τὰν ΕΒ ἀχθεῖσα ὀρθά 
1.175.24	ἐντι ποτὶ τὸ ἐπίπεδον τὸ κατὰ τὰν ΕΒ· ἐν ταύτᾳ δὴ τᾷ ἐπι-
1.175.25	φανείᾳ ἐστὶ καὶ ἁ τοῦ ὀξυγωνίου κώνου τομὰ ἁ περὶ 
1.175.26	διάμετρον τὰν ΑΒ. 
1.175.27	  Εἰ γὰρ μή ἐστιν, ἐσσεῖταί τι σαμεῖον ἐπὶ τᾶς τοῦ ὀξυγω-
1.175.28	νίου κώνου τομᾶς, ὃ οὐκ ἐσσεῖται ἐν τᾷ ἐπιφανείᾳ τοῦ κώνου. 
1.175.29	Νοείσθω τι σαμεῖον λελαμμένον τὸ Θ, ὃ οὐκ ἔστιν ἐν τᾷ  
1.176.1	ἐπιφανείᾳ τοῦ κώνου, καὶ ἀπὸ τοῦ Θ κάθετος ἄχθω ἁ ΘΚ 
1.176.2	ἐπὶ τὰν ΑΒ, ἁ δὲ ΓΚ ἐπιζευχθεῖσα ἐκβεβλήσθω καὶ συμπιπ-
1.176.3	τέτω τᾷ ΕΒ κατὰ τὸ Λ, διὰ δὲ τοῦ Λ ἄχθω τις ἐν τῷ ὀρθῷ 
1.176.4	ἐπιπέδῳ τῷ κατὰ τὰν ΕΒ ποτ' ὀρθὰς τᾷ ΕΒ ἁ ΛΜ, τὸ δὲ Μ 
1.176.5	νοείσθω μετέωρον ἐν τᾷ ἐπιφανείᾳ τοῦ κώνου, ἄχθω δὲ καὶ 
1.176.6	διὰ τοῦ Λ παρὰ τὰν ΑΒ ἁ ΠΡ· ἔστιν δή, ὡς μὲν τὸ ἀπὸ τᾶς 
1.176.7	Ν τετράγωνον ποτὶ τὸ ὑπὸ τᾶν ΖΔ, ΔΗ, οὕτως τὸ ἀπὸ τᾶς 
1.176.8	ΛΜ ποτὶ τὸ ὑπὸ τᾶν ΕΛ, ΛΒ, ὡς δὲ τὸ ὑπὸ τᾶν ΖΔ, ΔΗ 
1.176.9	ποτὶ τὸ ὑπὸ τᾶν ΑΔ, ΔΒ, οὕτως τὸ ὑπὸ ΕΛ, ΛΒ ποτὶ τὸ ὑπὸ 
1.176.10	τᾶν ΠΛ, ΛΡ· ἐσσεῖται οὖν, ὡς τὸ ἀπὸ τᾶς Ν τετράγωνον 
1.176.11	ποτὶ τὸ ὑπὸ ΑΔ, ΔΒ περιεχόμενον, οὕτως τὸ ἀπὸ τᾶς ΛΜ 
1.176.12	τετράγωνον ποτὶ τὸ ὑπὸ τᾶν ΠΛ, ΛΡ. Ἔχει δέ, ὡς τὸ ἀπὸ 
1.176.13	τᾶς Ν τετράγωνον ποτὶ τὸ ὑπὸ τᾶν ΑΔ, ΔΒ, οὕτως τὸ ἀπὸ 
1.176.14	τᾶς ΘΚ τετράγωνον ποτὶ τὸ ὑπὸ τᾶν ΑΚ, ΚΒ, ἐπεὶ ἐν τᾷ 
1.176.15	αὐτᾷ ὀξυγωνίου κώνου τομᾷ κάθετοί ἐντι ἀγμέναι ἐπὶ 
1.176.16	διάμετρον τὰν ΑΒ· τὸν αὐτὸν ἄρα ἔχει λόγον τὸ ἀπὸ τᾶς 
1.176.17	ΛΜ τετράγωνον ποτὶ τὸ ὑπὸ τᾶν ΠΛ, ΛΡ, ὃν τὸ ἀπὸ τᾶς 
1.176.18	ΘΚ ποτὶ τὸ ὑπὸ τᾶν ΑΚ, ΚΒ. Ἔχει δὲ καὶ τὸ ὑπὸ τᾶν ΠΛ, 
1.176.19	ΛΡ ποτὶ τὸ ἀπὸ τᾶς ΓΔ τετράγωνον τὸν αὐτὸν λόγον, ὃν 
1.176.20	τὸ ὑπὸ τᾶν ΑΚ, ΚΒ ποτὶ τὸ ἀπὸ τᾶς ΚΓ· τὸν αὐτὸν οὖν 
1.176.21	λόγον ἔχει τὸ ἀπὸ τᾶς ΛΜ τετράγωνον ποτὶ τὸ ἀπὸ τᾶς 
1.176.22	ΛΓ τετράγωνον, ὃν τὸ ἀπὸ τᾶς ΘΚ ποτὶ τὸ ἀπὸ τᾶς ΚΓ· 
1.176.23	ὥστε ἐπ' εὐθείας ἐντὶ τὰ Γ, Θ, Μ σαμεῖα. Ἁ δὲ ΓΜ ἐν τᾷ 
1.176.24	ἐπιφανείᾳ τοῦ κώνου· δῆλον οὖν ὅτι καὶ τὸ Θ σαμεῖον ἐν 
1.176.25	τᾷ ἐπιφανείᾳ ἐστὶ τοῦ κώνου. Ὑπέκειτο δὲ μὴ εἶμεν· φανε-
1.176.26	ρὸν οὖν ἐστιν ὃ ἔδει δεῖξαι. 
1.176.27	    θʹ. 
1.176.28	  Ὀξυγωνίου κώνου τομᾶς δοθείσας καὶ γραμμᾶς ἀπὸ 
1.176.29	τοῦ κέντρου τᾶς τοῦ ὀξυγωνίου κώνου τομᾶς μὴ ὀρθᾶς  
1.177.1	ἀνεστακούσας ἐν ἐπιπέδῳ, ὅ ἐστιν ἀπὸ τᾶς ἑτέρας διαμέ-
1.177.2	τρου ὀρθὸν ἀνεστακὸς ποτὶ τὸ ἐπίπεδον, ἐν ᾧ ἐστιν ἁ τοῦ 
1.177.3	ὀξυγωνίου κώνου τομά, δυνατόν ἐντι κύλινδρον εὑρεῖν τὸν 
1.177.4	ἄξονα ἔχοντα ἐπ' εὐθείας τᾷ ἀνεστακούσᾳ γραμμᾷ, οὗ ἐν 
1.177.5	τᾷ ἐπιφανείᾳ ἐσσεῖται ἁ δοθεῖσα τοῦ ὀξυγωνίου κώνου 
1.177.6	τομά.  
1.177.7	  Ἔστω τᾶς δοθείσας τοῦ ὀξυγωνίου κώνου τομᾶς ἑτέρα 
1.177.8	διάμετρος ἁ ΒΑ, κέντρον δὲ τὸ Δ, ἁ δὲ ΓΔ γραμμὰ ἔστω 
1.177.9	ἀνεστάκουσα ἀπὸ τοῦ κέντρου, ὡς εἴρηται, ἁ δὲ τοῦ 
1.177.10	ὀξυγωνίου κώνου τομὰ νοείσθω περὶ διάμετρον τὰν ΑΒ ἐν 
1.177.11	ἐπιπέδῳ ὀρθῷ ποτὶ τὸ ἐπίπεδον τὸ ἐν ᾧ ἐντι αἱ ΑΒ, ΓΔ· δεῖ 
1.177.12	δὴ κύλινδρον εὑρεῖν τὸν ἄξονα ἔχοντα ἐπ' εὐθείας τᾷ ΓΔ, 
1.177.13	οὗ ἐν τᾷ ἐπιφανείᾳ ἐσσεῖται ἁ δοθεῖσα τοῦ ὀξυγωνίου 
1.177.14	κώνου τομά. 
1.177.15	  Ἀπὸ δὴ τῶν Α, Β σαμείων ἄχθων παρὰ τὰν ΓΔ αἱ ΑΖ, 
1.177.16	ΒΗ· ἁ δὴ ἑτέρα διάμετρος τᾶς τοῦ ὀξυγωνίου κώνου τομᾶς 
1.177.17	ἤτοι ἴσα ἐντὶ τῷ διαστήματι τᾶν ΑΖ, ΒΗ ἢ μείζων ἢ ἐλάσσων. 
1.177.18	Ἔστω δὴ πρότερον ἴσα τᾷ ΖΗ, ἁ δὲ ΖΗ ἔστω ποτ' ὀρθὰς 
1.177.19	τᾷ ΓΔ, ἀπὸ δὲ τᾶς ΖΗ ἀνεστακέτω ἐπίπεδον ὀρθὸν ποτὶ τὰν 
1.177.20	ΓΔ, καὶ ἐν τῷ ἐπιπέδῳ τούτῳ κύκλος ἔστω περὶ διάμετρον  
1.178.1	τὰν ΖΗ, καὶ ἀπὸ τοῦ κύκλου τούτου κύλινδρος ἔστω 
1.178.2	ἄξονα ἔχων τὰν ΓΔ· ἐν δὴ τᾷ ἐπιφανείᾳ τοῦ κυλίνδρου 
1.178.3	τούτου ἐστὶν ἁ τοῦ ὀξυγωνίου κώνου τομά. 
1.178.4	  Εἰ γὰρ μή ἐστιν, ἐσσεῖταί τι σαμεῖον ἐπὶ τᾶς τοῦ ὀξυ-
1.178.5	γωνίου κώνου τομᾶς, ὃ οὐκ ἔστιν ἐν τᾷ ἐπιφανείᾳ τοῦ 
1.178.6	κυλίνδρου. Νοείσθω δή τι σαμεῖον λελαμμένον ἐπὶ τᾶς τοῦ 
1.178.7	ὀξυγωνίου κώνου τομᾶς τὸ Θ, ὃ οὐκ ἔστιν ἐν τᾷ ἐπιφανείᾳ 
1.178.8	τοῦ κυλίνδρου, καὶ ἀπὸ τοῦ Θ ἁ ΘΚ κάθετος ἄχθω ἐπὶ 
1.178.9	τὰν ΑΒ· ἐσσεῖται δὲ αὕτα ὀρθὰ ποτὶ τὸ ἐπίπεδον, ἐν ᾧ 
1.178.10	ἐντι αἱ ΒΑ, ΓΔ· ἀπὸ δὲ τοῦ Κ ἄχθω παρὰ τὰν ΓΔ ἁ ΚΛ, 
1.178.11	καὶ ἀπὸ τοῦ Λ ἀνεστακέτω ἁ ΛΜ ποτ' ὀρθὰς τᾷ ΖΗ ἐν τῷ 
1.178.12	κύκλῳ τῷ περὶ τὰν ΖΗ, τὸ δὲ Μ νοείσθω μετέωρον ἐν τᾷ 
1.178.13	περιφερείᾳ τοῦ ἡμικυκλίου τοῦ περὶ διάμετρον τὰν ΖΗ· 
1.178.14	τὸν αὐτὸν δὴ ἔχει λόγον τὸ τετράγωνον τὸ ἀπὸ τᾶς ΘΚ 
1.178.15	καθέτου ποτὶ τὸ ὑπὸ τᾶν ΑΚ, ΚΒ περιεχόμενον καὶ τὸ ἀπὸ 
1.178.16	ΖΓ ποτὶ τὸ ὑπὸ τᾶν ΑΔ, ΔΒ περιεχόμενον, ἐπεὶ ἴσα ἐστὶν ἁ 
1.178.17	ΖΗ τᾷ ἑτέρᾳ διαμέτρῳ. Ἔχει δὲ καὶ τὸ ὑπὸ τᾶν ΖΛ, ΛΗ 
1.178.18	περιεχόμενον ποτὶ τὸ ὑπὸ ΑΚ, ΚΒ περιεχόμενον, ὃν τὸ ἀπὸ 
1.178.19	τᾶς ΖΓ τετράγωνον ποτὶ τὸ ἀπὸ ΑΔ· ἴσον οὖν ἐντι τὸ 
1.178.20	ὑπὸ τᾶν ΖΛ, ΛΗ περιεχόμενον τῷ ἀπὸ τᾶς ΘΚ τετραγώνῳ. 
1.178.21	Ἔστιν δὲ ἴσον καὶ τῷ ἀπὸ ΛΜ· ἴσαι ἄρα ἐντὶ αἱ ΘΚ, ΜΛ 
1.178.22	κάθετοι. Παράλληλοι οὖν ἐντι αἱ ΛΚ, ΜΘ· ὥστε καὶ αἱ 
1.178.23	ΔΓ, ΜΘ παράλληλοι ἐσσοῦνται. Καὶ ἐν τᾷ ἐπιφανείᾳ ἄρα 
1.178.24	ἐστὶ τοῦ κυλίνδρου ἁ ΘΜ, ἐπεὶ ἀπὸ τοῦ Μ ἐν τᾷ ἐπιφανείᾳ 
1.178.25	ἐόντος ἆκται παρὰ τὸν ἄξονα· δῆλον οὖν ὅτι καὶ τὸ Θ ἐν 
1.178.26	τᾷ ἐπιφανείᾳ ἐστὶν αὐτοῦ. Ὑπέκειτο δὲ μὴ εἶμεν· φανερὸν 
1.178.27	οὖν ἐστιν, ὃ ἔδει δεῖξαι. 
1.178.28	  Δῆλον δὴ ὅτι καὶ ὁ κύλινδρος ὁ περιλαμβάνων ὀρθὸς  
1.179.1	ἐσσεῖται, εἴ κα ᾖ ἁ ἑτέρα διάμετρος ἴσα τῷ διαστήματι 
1.179.2	τᾶν ἀπὸ τῶν περάτων τᾶς ἑτέρας διαμέτρου ἀγμενᾶν παρὰ 
1.179.3	τὰν ἀνεστάκουσαν εὐθεῖαν.  
1.179.4	  Ἔστω πάλιν ἁ ἑτέρα διάμετρος μείζων τᾶς ΖΗ, καὶ ἴσα 
1.179.5	ἔστω ἁ ΠΖ τᾷ ἑτέρᾳ διαμέτρῳ, ἀπὸ δὲ τᾶς ΠΖ ἐπίπεδον 
1.179.6	ἀνεστακέτω ὀρθὸν ποτὶ τὸ ἐπίπεδον τὸ ἐν ᾧ ἐντι αἱ ΒΑ, 
1.179.7	ΓΔ, καὶ ἐν τῷ ἐπιπέδῳ τούτῳ κύκλος ἔστω περὶ διάμετρον 
1.179.8	τὰν ΠΖ, ἀπὸ δὲ τοῦ κύκλου τούτου κύλινδρος ἔστω ἄξονα 
1.179.9	ἔχων τὰν ΔΡ· ἐν δὴ τᾷ ἐπιφανείᾳ τοῦ κυλίνδρου τούτου 
1.179.10	διὰ τῶν αὐτῶν δειχθήσεται ἐοῦσα ἁ τοῦ ὀξυγωνίου κώνου 
1.179.11	τομά. 
1.179.12	  Ἀλλ' ἔστω ἐλάσσων ἁ ἑτέρα διάμετρος τᾶς ΖΗ. Ὧι δὴ 
1.179.13	μεῖζον δύναται ἁ ΖΓ τᾶς ἡμισείας τᾶς ἑτέρας διαμέτρου 
